,Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
61,Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu,2200000000.0,Cần bán,Nhà trong hẻm,Missing value,Missing value,38.0,4.4,9.2,2.0,2.0,Missing value,3.0,Y,Y,Missing value,Missing value
62,Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,4300000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,77.0,6.1715045871559635,12.476698171828499,2.7620345140781106,4.425570776255708,Tây Bắc,5.0,Missing value,Missing value,Missing value,Missing value
63,Đường Đa Phước 10, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5700000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,85.0,5.0,17.0,3.0,4.0,Tây Nam,7.5,Missing value,Missing value,Missing value,Missing value
64,Đường Ngô Thế Vinh, Phường Hòa Thuận Tây, Quận Hải Châu,7000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,109.0,6.1715045871559635,17.66181948999099,2.7620345140781106,4.425570776255708,Tây Nam,5.5,Missing value,Missing value,Missing value,Missing value
65,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,50000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,117.0,5.0,23.4,8.0,6.0,Bắc,20.0,Missing value,Missing value,Missing value,Missing value
66,Trung Lương 10, Phường Hòa Xuân, Quận Cẩm Lệ,9100000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,200.0,10.0,20.0,2.7620345140781106,4.425570776255708,Tây Bắc,7.5,Missing value,Missing value,Missing value,Missing value
67,Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà,8000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,80.0,5.0,16.0,2.7620345140781106,4.425570776255708,Missing value,5.5,Missing value,Missing value,Missing value,Missing value
68,Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,4500000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,97.0,6.1715045871559635,15.717398995680057,2.0,2.0,Nam,4.0,Missing value,Missing value,Missing value,Missing value
69,Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,11000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,124.0,6.1715045871559635,20.09234510787966,2.7620345140781106,4.425570776255708,Đông Nam,30.0,Missing value,Missing value,Missing value,Missing value
70,Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,10400000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,82.0,5.1,16.07843137254902,4.0,7.0,Tây Nam,5.5,Y,Y,Y,Y
71,Đường Tân Thái, Phường Mân Thái, Quận Sơn Trà,4400000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,75.0,5.0,15.0,2.0,3.0,Missing value,4.0,Y,Y,Missing value,Y
72,Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu,13500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,87.0,4.5,19.4,4.0,7.0,Đông,105.0,Missing value,Missing value,Missing value,Missing value
73,Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu,17000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,93.0,4.0,23.0,2.0,3.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
74,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,2170000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,72.0,5.0,14.4,2.0,3.0,Tây Bắc,4.0,Y,Y,Y,Y
75,Đường Bùi Huy Bích, Phường An Hải Đông, Quận Sơn Trà,6000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,149.0,8.3,18.0,2.7620345140781106,4.425570776255708,Missing value,5.5,Missing value,Missing value,Missing value,Missing value
76,Đường Trần Đức Thông, Phường Phước Mỹ, Quận Sơn Trà,6600000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Giấy tờ hợp lệ,80.0,5.0,16.0,2.7620345140781106,4.425570776255708,Đông Bắc,5.5,Missing value,Missing value,Missing value,Missing value
