Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Khuê Mỹ Đông 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,11000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,175,10,17.5,,,Tây Bắc,5.5,,,,
Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,67000000000,Cần bán,"Nhà hàng, khách sạn",,,292,11,25,5,27,,15,,,,
Đường Phạm Thị Lam Anh, Phường Hòa Khánh Nam, Quận Liên Chiểu,3000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,128,5.25,25,2,3,Đông Nam,5.5,,,,
Đường Trần Cao Vân, Phường Thanh Khê Đông, Quận Thanh Khê,3900000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,92,8.9,11,2,2,Tây Nam,3,,,,
Đường Nguyễn Văn Linh, Phường Hòa Thuận Tây, Quận Hải Châu,7990000000,Cần bán,"Đất thổ cư, đất ở",,,119,5,24,,,,7.5,,,,
Đường Võ Sạ, Phường Hòa Xuân, Quận Cẩm Lệ,3150000000,Cần bán,Mặt bằng,,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,7.5,,,,
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,4800000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,25,,,,
Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu,41000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,158,6.9,22,2,3,Tây,10,Y,Y,Y,Y
Đường Tôn Quang Phiệt, Phường Nại Hiên Đông, Quận Sơn Trà,5500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,4.5,20,,,Tây Nam,7.5,,,,Y
Đường Phan Đăng Lưu, Phường Khuê Trung, Quận Cẩm Lệ,21000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,187,7.5,25,1,2,Đông Bắc,15,Y,Y,Y,Y
