Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Nguyễn Văn Linh, Phường Hải Châu I, Quận Hải Châu,29900000000,Cần bán,Nhà mặt tiền,,,75,5,16,1,1,,33,Y,Y,Y,Y
Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu,8100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,62,4.8,12,5,4,,5.5,,,,
Đường Nghiêm Xuân Yêm, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,10300000000,Cần bán,"Nhà hàng, khách sạn",,Sổ hồng/ Sổ đỏ,100,,,5,11,,10,Y,Y,Y,Y
Đường Trần Đại Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn,6300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,140,5.3,26,,,Nam,33,,,,
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2050000000,Cần bán,"Đất nền, liền kề, đất dự án",,,100,5,20,,,Đông Nam,5.5,,,,
Đường Trương Định, Phường Mân Thái, Quận Sơn Trà,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,133,7.5,19.6,5,5,Đông Bắc,10,,,,
Đường Âu Dương Lân, Xã Hòa Khương, Huyện Hòa Vang,630000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,120,6,20,,,,7.5,,,,
Đường Đòan Ngọc Nhạc, Phường Hòa Xuân, Quận Cẩm Lệ,4680000000,Cần bán,Nhà mặt tiền,,Giấy tờ hợp lệ,100,5,100,3,3,Tây,7.5,,,,
Đường Phạm Tu, Phường Phước Mỹ, Quận Sơn Trà,7800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,71,5,14.3,3,3,Đông,5.5,,,,
Đường Khương Hữu Dụng, Phường Hòa Xuân, Quận Cẩm Lệ,4400000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,Đông Nam,7.5,,,,
Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,14500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,92,4.5,20,,,Tây,10,,,,
Đường 29/3, Phường Hòa Xuân, Quận Cẩm Lệ,6500000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,7.5,,,,
Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn,4250000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,165,8,21,5,5,,7.5,Y,Y,Y,Y
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2500000000,Cần bán,"Đất nền, liền kề, đất dự án",,,150,7.5,20,,,Đông,10,,,,
Đường Hồ Tông Thốc, Phường Hòa Cường Bắc, Quận Hải Châu,5700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,92,5,18.5,1,2,Tây Nam,5.5,,,,Y
Trung Lương 10, Phường Hòa Xuân, Quận Cẩm Lệ,4500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,7.5,,,,Y
Đường Hà Đông 3, Phường Xuân Hà, Quận Thanh Khê,5000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,,5.5,,,,
Đường số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,300,15,20,,,Đông,15,,,,
Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà,2950000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,91,5.35,17.1,,,Đông Nam,3,Y,Y,,
Đường Ngô Quyền, Phường An Hải Tây, Quận Sơn Trà,8700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,124,5,25,,,Đông Nam,10,,,,
Đường Thủ Khoa Huân, Phường An Hải Đông, Quận Sơn Trà,8700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,175,6.28,30,1,4,,5,Y,Y,Y,Y
Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,33000000000,Cần bán,Nhà mặt tiền,,,120,,,4,4,,10,,,,
Đường Hóa Mỹ, Phường Hòa Minh, Quận Liên Chiểu,4500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,60,5,12,4,4,Tây,7,,,,Y
Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu,3600000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,51,5,10,1,2,Tây Nam,4.5,,,,Y
Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn,4300000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,7.5,,,,
Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,30000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,127,6,21.2,2,2,Đông Bắc,11,Y,Y,Y,Y
Đường Võ An Ninh, Phường Hòa Xuân, Quận Cẩm Lệ,5700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,10,,,,Y
Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà,4300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,74,3.5,21.5,4,4,Tây Bắc,4,Y,Y,Y,Y
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,3000000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,57,7,9,2,3,Tây,3,Y,Y,Y,Y
Đường Phạm Tứ, Phường Khuê Trung, Quận Cẩm Lệ,6000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,2,2,Đông Nam,10,,,,Y
Đại Lộ Trung Lương, Phường Hòa Thọ Đông, Quận Cẩm Lệ,22000000000,Cần bán,Nhà mặt tiền,,Giấy tờ hợp lệ,1.25,5,55,5,5,,5,,,,
Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5000000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,12,,,,
Đường số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông,7.5,,,,
Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu,5490000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,3,3,Tây Nam,5.5,Y,Y,Y,Y
Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,5000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,118,4.5,26.3,,,Đông Bắc,5,,,,
Đường Ngô Thế Vinh, Phường Hòa Thuận Tây, Quận Hải Châu,7000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,109,5,21.8,,,Tây Nam,5.5,,,,
Đường Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn,14700000000,Cần bán,"Biệt thự, nhà liền kề",,Sổ hồng/ Sổ đỏ,370,15,24,1,1,,4.1,,,,
Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,550000000,Cần bán,Căn hộ chung cư,,Sổ hồng/ Sổ đỏ,80,5,16,11,2,Đông,20,,,,
Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,6500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Tây Nam,7,,,,
55 Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu,18500000000,Cần bán,"Biệt thự, nhà liền kề",,Sổ hồng/ Sổ đỏ,120,6,20,4,3,Đông Nam,17,Y,Y,Y,Y
Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Quận Cẩm Lệ,4990000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,102,5,20,,,Đông,7.5,,,,
Đường Cẩm Bắc 6, Phường Hòa Thọ Đông, Quận Cẩm Lệ,5600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,171,13,20,2,2,Đông,5.5,Y,Y,Y,Y
Đường Tố Hữu, Phường Hòa Cường Bắc, Quận Hải Châu,8800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Bắc,7.5,,,,
Đường Phan Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn,16000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,122,6,20,7,22,Đông,7.5,Y,Y,Y,Y
Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu,10800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,92,7.7,12,3,4,Đông,7.5,Y,Y,Y,Y
Đường Trường Chinh, Phường Chính Gián, Quận Thanh Khê,22500000000,Cần bán,Nhà mặt tiền,,,1.3,,,5,5,,5,,,,
Đường Trường Sơn, Phường Hòa Thọ Đông, Quận Cẩm Lệ,22000000000,Cần bán,Nhà mặt tiền,,,1.2,5,,5,5,,5,,,,
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,3000000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,57,7,9,2,3,Tây,3,Y,Y,Y,Y
Đường Lương Văn Can, Phường Khuê Trung, Quận Cẩm Lệ,4800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Đông,7.5,,,,
Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn,4400000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Bắc,7.5,,,,
Đường Thanh Sơn, Phường Thanh Bình, Quận Hải Châu,10000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,4.5,20,3,4,,7.5,Y,Y,Y,Y
Đường 29/3, Phường Hòa Xuân, Quận Cẩm Lệ,6900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,30,,,,
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2200000000,Cần bán,"Đất nền, liền kề, đất dự án",,,150,7.5,20,,,Đông Nam,21,,,,
Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu,5900000000,Cần bán,Nhà mặt tiền,,,71,4,15,3,4,,7,,,,
Đường Hồ Hán Thương, Phường Nại Hiên Đông, Quận Sơn Trà,6600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây,15,,,,
Đường Hương Hải Thiền Sư, Phường An Hải Bắc, Quận Sơn Trà,5600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,93,5,,2,3,Đông Bắc,7.5,,,,
Đường Lê Đình Kỵ, Phường Hòa An, Quận Cẩm Lệ,3099000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,98,5.7,17.1,1,2,Tây Nam,5,,,,
Đường An Thượng 19, Phường Mỹ An, Quận Ngũ Hành Sơn,5900000000,Cần bán,Nhà mặt tiền,,,120,5.5,,2,5,,5.5,,,,
Đường Đông Trà 2, Phường Hòa Hải, Quận Ngũ Hành Sơn,6500000000,Cần bán,"Đất thổ cư, đất ở",,,227,8,29,,,Đông,7.5,,,,
Đường Nguyễn Hoàng, Phường Hải Châu II, Quận Hải Châu,8700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,53,4.3,12.5,3,3,,5.5,,,,
Đường Bàu Mạc 8, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,108,5,21.5,,,Tây Bắc,5.5,,,,
Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,550000000,Cần bán,Căn hộ chung cư,,Sổ hồng/ Sổ đỏ,80,10,20,5,3,Đông,7.5,,,,
Đường Nguyễn Tuyển, Phường Hòa Hải, Quận Ngũ Hành Sơn,3030000000,Cần bán,Nhà mặt tiền,,,90,5,18,2,2,Bắc,5.5,,,,
Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,4500000000,Cần bán,Nhà trong hẻm,,,108,,,,,,5.5,,,,
Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu,3000000000,Cần bán,Nhà trong hẻm,,,70,4,19,2,3,Đông Bắc,5,,,,
Đường An Nhơn 1, Phường An Hải Bắc, Quận Sơn Trà,7300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,78,5,15.4,4,4,Tây,5,,,,
Đường Nguyễn Nghiễm, Phường Hòa Hải, Quận Ngũ Hành Sơn,3330000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,84,5,16.9,,,Đông Bắc,55,,,,
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2300000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,150,7.5,20,,,Đông Nam,20,,,,
Đường Phan Thúc Duyện, Phường Mỹ An, Quận Ngũ Hành Sơn,6500000000,Cần bán,Nhà mặt tiền,,,69,4.65,14.5,2,2,Đông Bắc,5.5,,,,
Đường Đa Mặn, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5050000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,81,4.5,18,2,3,Đông Nam,5.5,,,,
Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ,3900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,7.5,,,,
Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ,2050000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,67,5,13.4,1,5,Tây Nam,4,,,,
Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu,3320000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,143,,,3,3,Tây Nam,3,Y,Y,Y,
Đường Nguyễn Tất Thành, Phường Thanh Khê Đông, Quận Thanh Khê,11500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Bắc,30,,,,
Đường Hồ Tông Thốc, Phường Hòa Cường Bắc, Quận Hải Châu,5700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,93,5,18.5,1,2,Tây Nam,5.5,,,,
Đường Quách Thị Trang, Phường Hòa Xuân, Quận Cẩm Lệ,3900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,101,5,20,,,Tây Nam,7.5,,,,
Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,4370000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,4.5,20,2,3,Tây Nam,5.5,Y,Y,Y,Y
Đường Bùi Công Trừng, Phường Hòa Xuân, Quận Cẩm Lệ,4100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,7.5,,,,
Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà,13000000000,Cần bán,Nhà mặt tiền,,,150,8,,3,3,,7.5,,,,
Đường Tiên Sơn 2, Phường Hòa Cường Nam, Quận Hải Châu,4300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,64,4,16,1,2,Đông,4,,,,
Đường Thủ Khoa Huân, Phường An Hải Đông, Quận Sơn Trà,8700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,175,6.3,27,,2,Đông Bắc,6,,,,
Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,5700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,135,5,27,3,3,Tây Nam,7.5,Y,Y,Y,Y
Đường Phú Xuân 2, Phường Hòa Minh, Quận Liên Chiểu,4200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,6,,,,
Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,4370000000,Cần bán,Nhà mặt tiền,,,90,4.5,20,2,3,,5.5,,,,
Đường Lỗ Giáng 8, Phường Hòa Xuân, Quận Cẩm Lệ,3080000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,5.5,,,,
Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ,4980000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,10,,,,
Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà,6450000000,Cần bán,"Đất thổ cư, đất ở",,,115,,,,,,10,,,,
Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ,3950000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,114,4,23,2,2,Đông Nam,4,,,,
Đường Lê Kim Lăng, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,,,,7.5,,,,
Đường Mỹ An 7, Phường Mỹ An, Quận Ngũ Hành Sơn,5700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,5.5,,,,
Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,32000000000,Cần bán,Nhà mặt tiền,,,265,,,1,1,,10,,,,
Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,4370000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,4.5,20,2,3,Tây Nam,5.5,Y,Y,Y,Y
Đường Mỹ Đa Đông 3, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,4600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,9,10,,,Đông Bắc,5.5,,,,
Đường Thanh Lương 15, Phường Hòa Xuân, Quận Cẩm Lệ,3570000000,Cần bán,"Đất thổ cư, đất ở",,,100,5,20,,,,7.5,,,,
Đường Man Thiện, Phường Hòa Thuận Tây, Quận Hải Châu,6400000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,7,12,2,6,,55,Y,Y,Y,Y
Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,22000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,195,9,20,2,2,,0,Y,Y,Y,Y
Đường Lý Văn Phức, Phường Hòa Hải, Quận Ngũ Hành Sơn,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông Nam,5.5,,,,
Đường Huỳnh Lắm, Phường Hòa Hải, Quận Ngũ Hành Sơn,3800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,6,16.5,,,Đông,10,,,,
Đường Nguyễn Tất Thành, Xã Hòa Khương, Huyện Hòa Vang,4000000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,220,15,,4,4,,15,Y,,,
Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ,2550000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,90,5,18,,,Tây,5.5,,,,
Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,8700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,123,4.95,25,,,Đông Nam,48,,,,
Đường An Thượng 37, Phường Mỹ An, Quận Ngũ Hành Sơn,14500000000,Cần bán,"Nhà hàng, khách sạn",,,74,5,14.7,5,9,,5.5,,,,
Đường số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2600000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,7.5,,,,
Đường Trần Quốc Vượng, Phường Hòa Hải, Quận Ngũ Hành Sơn,3030000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,104,6,18,,,,33,,,,
Đường Vũ Mộng Nguyên, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,96,5,19,2,4,Đông,5.5,,,,
Đường Mỹ Đa Đông 5, Phường Mỹ An, Quận Ngũ Hành Sơn,7500000000,Cần bán,"Nhà hàng, khách sạn",,,68,4,17,4,7,,5.5,,,,
Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,157,5,31,,,Đông,33,,,,
Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ,6750000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Tây Nam,7.5,,,,
Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê,3650000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,43,4,11,5,4,Đông Bắc,2.5,Y,Y,Y,Y
Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ,4300000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,Đông Bắc,7.5,,,,
Đường Lê Văn Quý, Phường An Hải Bắc, Quận Sơn Trà,77000000000,Cần bán,"Đất thổ cư, đất ở",,,434,15,27,,,,15,,,,
Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê,2950000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,4.5,11,3,3,Đông Bắc,3,Y,Y,Y,Y
Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,3500000000,Cần bán,"Đất thổ cư, đất ở",,,70,4,17,,,Đông Nam,7.5,,,,
Đường Núi Thành, Phường Hòa Cường, Quận Hải Châu,9000000000,Cần bán,Nhà mặt tiền,,,60,,,2,3,,7,,,,
Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,1850000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,43,4,11,2,2,Nam,3,Y,Y,,
Đường Lưu Quang Vũ, Phường Hòa Quý, Quận Ngũ Hành Sơn,1750000000,Cần bán,"Đất thổ cư, đất ở",,,100,,,,,,5,,,,
Đại Lộ Trung Lương, Phường Hòa Xuân, Quận Cẩm Lệ,6800000000,Cần bán,Nhà mặt tiền,,,100,5,20,3,3,Đông Nam,5.5,,,,
Đường Bình Kỳ, Phường Hòa Quý, Quận Ngũ Hành Sơn,2880000000,Cần bán,Nhà trong hẻm,,,105,5.3,,2,3,,3,Y,Y,Y,
Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê,2950000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,4.5,12,3,3,Đông Bắc,3,Y,Y,Y,Y
Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,2000000000,Cần bán,Căn hộ chung cư,,Giấy tờ hợp lệ,30,,,25,1,Đông,20,Y,Y,Y,Y
Đường Sơn Thủy 12, Phường Hòa Hải, Quận Ngũ Hành Sơn,3700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,5,16,2,3,Đông Bắc,5.5,Y,Y,Y,Y
Đường Bình Minh, Phường Bình Thuận, Quận Hải Châu,11800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,,,,7,,,,Y
Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu,9500000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,200,10,20,,,Đông Nam,7.5,,,,
Đường Âu Dương Lân, Xã Hòa Khương, Huyện Hòa Vang,630000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,,7.5,,,,
Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,650000000,Cần bán,Căn hộ chung cư,,Sổ hồng/ Sổ đỏ,75,10,20,2,2,Đông,7.5,,,,
Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,11000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,4,Tây,10,Y,Y,Y,Y
Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ,4350000000,Cần bán,Nhà mặt tiền,,,100,5,20,1,2,Tây,10,,,,
Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu,4150000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,92,5,18.5,,,Tây Nam,7.5,,,,
Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn,2200000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,150,7.5,20,2,2,,3,Y,Y,,Y
Đường Nguyễn Khoa Chiêm, Phường Hòa Phát, Quận Cẩm Lệ,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,110,5,22,2,2,Tây Bắc,5.5,Y,Y,Y,Y
Đường Thanh Vinh, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3450000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,175,7,25,3,3,,5.5,,,,
Đường Cồn Dầu 1, Phường Hòa Xuân, Quận Cẩm Lệ,5100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Đông Nam,5.5,Y,Y,,Y
Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê,2650000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,52,4,,2,3,Đông Nam,2.5,,,,
Đường Phạm Ngọc Mậu, Phường An Khê, Quận Thanh Khê,2900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,55,,,,,Đông,7.5,,,,
Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu,2830000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,91,5.1,18,2,3,,3.5,Y,Y,,
Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn,2980000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,121,5,24.2,2,2,,5,Y,Y,Y,Y
Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,3250000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,50,6.6,7.8,3,5,,5.5,Y,Y,Y,Y
